Symbol,Price,Date
USDTNGN,1156.80000000,2023-11-27 10:26:04.479216
USDTNGN,1157.50000000,2023-11-27 11:45:08.513346
USDTNGN,1157.40000000,2023-11-27 12:00:07.416806
USDTNGN,1157.70000000,2023-11-27 12:15:08.244184
USDTNGN,1157.60000000,2023-11-27 12:30:08.193639
USDTNGN,1157.20000000,2023-11-27 12:45:08.141577
USDTNGN,1157.20000000,2023-11-27 13:00:16.016942
USDTNGN,1155.90000000,2023-11-27 13:15:10.189124
USDTNGN,1157.00000000,2023-11-27 13:30:12.178938
USDTNGN,1157.60000000,2023-11-27 13:45:14.388296
USDTNGN,1157.80000000,2023-11-27 14:00:11.936347
USDTNGN,1155.90000000,2023-11-27 14:15:10.290423
USDTNGN,1155.50000000,2023-11-27 18:13:09.204474
USDTNGN,1156.30000000,2023-11-27 18:15:07.945765
USDTNGN,1155.70000000,2023-11-27 18:48:06.797089
USDTNGN,1156.10000000,2023-11-28 14:00:09.512979
USDTNGN,1155.20000000,2023-11-28 14:15:15.127573
USDTNGN,1155.70000000,2023-11-28 20:30:07.328788
USDTNGN,1154.00000000,2023-11-28 20:45:07.743825
USDTNGN,1155.30000000,2023-11-28 21:00:06.221766
USDTNGN,1154.70000000,2023-11-28 21:15:06.401188
USDTNGN,1155.20000000,2023-11-28 21:30:09.146622
USDTNGN,1155.20000000,2023-11-28 21:45:07.649593
USDTNGN,1155.40000000,2023-11-28 22:00:06.396995
USDTNGN,1155.80000000,2023-11-28 22:15:06.262419
USDTNGN,1155.30000000,2023-11-28 22:30:08.313728
USDTNGN,1155.70000000,2023-11-28 22:45:06.372102
USDTNGN,1154.00000000,2023-11-28 23:00:05.387081
USDTNGN,1155.60000000,2023-11-28 23:15:05.232008
USDTNGN,1156.70000000,2023-11-28 23:30:06.506645
USDTNGN,1156.30000000,2023-11-28 23:45:05.757729
USDTNGN,1155.20000000,2023-11-29 00:00:05.823667
USDTNGN,1154.50000000,2023-11-29 00:15:05.716534
USDTNGN,1153.20000000,2023-11-29 00:30:07.279697
USDTNGN,1155.10000000,2023-11-29 00:45:06.885699
USDTNGN,1157.20000000,2023-11-29 01:00:11.558055
USDTNGN,1157.80000000,2023-11-29 01:15:05.384875
USDTNGN,1157.20000000,2023-11-29 01:30:07.246939
USDTNGN,1153.60000000,2023-11-29 01:45:05.827283
USDTNGN,1152.70000000,2023-11-29 02:00:05.432034
USDTNGN,1153.30000000,2023-11-29 02:15:06.328224
USDTNGN,1154.10000000,2023-11-29 02:30:06.751227
USDTNGN,1153.50000000,2023-11-29 02:45:05.975498
USDTNGN,1153.30000000,2023-11-29 03:00:08.407747
USDTNGN,1152.00000000,2023-11-29 03:15:05.703695
USDTNGN,1154.50000000,2023-11-29 11:00:16.238199
USDTNGN,1155.80000000,2023-11-29 11:15:16.096798
USDTNGN,1155.60000000,2023-11-29 11:21:08.925697
USDTNGN,1156.00000000,2023-11-29 11:30:14.141283
USDTNGN,1155.80000000,2023-11-29 11:45:20.383637
USDTNGN,1154.20000000,2023-11-29 12:00:17.000630
USDTNGN,1154.70000000,2023-11-29 12:15:19.487578
USDTNGN,1155.20000000,2023-11-29 12:30:14.722273
USDTNGN,1155.60000000,2023-11-29 12:45:13.837420
USDTNGN,1155.60000000,2023-11-29 13:00:15.728096
USDTNGN,1156.00000000,2023-11-29 13:15:17.417964
USDTNGN,1156.30000000,2023-11-29 13:30:20.651953
USDTNGN,1158.40000000,2023-11-29 13:45:28.055815
USDTNGN,1157.90000000,2023-11-29 14:00:17.080898
USDTNGN,1158.10000000,2023-11-29 14:15:14.040309
USDTNGN,1155.90000000,2023-11-29 14:30:14.847245
USDTNGN,1155.00000000,2023-11-29 14:45:11.595044
USDTNGN,1155.30000000,2023-11-29 15:00:16.559012
USDTNGN,1152.70000000,2023-11-29 15:15:12.945981
USDTNGN,1154.20000000,2023-11-29 15:30:11.542478
USDTNGN,1154.10000000,2023-11-29 15:45:12.767427
USDTNGN,1154.30000000,2023-11-29 16:00:14.720297
USDTNGN,1153.80000000,2023-11-29 16:15:14.995071
USDTNGN,1153.20000000,2023-11-29 16:30:12.562068
USDTNGN,1153.70000000,2023-11-29 16:45:10.546859
USDTNGN,1155.30000000,2023-11-29 17:00:14.371024
USDTNGN,1153.70000000,2023-11-29 17:15:07.716084
USDTNGN,1154.70000000,2023-11-29 17:30:08.673728
USDTNGN,1154.30000000,2023-11-29 17:45:09.735827
USDTNGN,1155.60000000,2023-11-29 18:00:08.544599
USDTNGN,1153.90000000,2023-11-29 18:15:05.126786
USDTNGN,1153.60000000,2023-11-29 18:30:10.649024
USDTNGN,1156.20000000,2023-11-30 10:15:18.233223
USDTNGN,1155.80000000,2023-11-30 10:30:25.247552
USDTNGN,1156.40000000,2023-11-30 10:45:13.920534
USDTNGN,1156.50000000,2023-11-30 11:00:39.869296
USDTNGN,1157.40000000,2023-11-30 11:40:31.289278
USDTNGN,1157.40000000,2023-11-30 11:45:25.232692
USDTNGN,1157.40000000,2023-11-30 12:00:16.677314
USDTNGN,1157.40000000,2023-11-30 12:15:16.176283
